,gwicid,2000-2003,2004-2007,2008-2011,2012-2015,2016-2019,2020-2023,prior to 2000,latitude,longitude
0,5756,29.017000000000003,25.44333333333333,13.47,23.976109828054295,26.21072829166667,,23.336,46.643954,-112.046558
1,5846,4.226666666666667,2.823,3.0081818181818183,2.6916666666666664,3.091111111111111,2.4875,3.1016000000000004,46.7043044,-111.9956763
2,5854,5.625,6.15,5.835980650030066,,,,5.905454545454545,46.6924772,-111.978844
3,58906,57.36666666666667,60.019682539682535,50.79264150943396,57.26,63.87777777777778,,,46.5495,-112.1011
4,58923,73.87666666666667,77.01636363636364,72.54636363636364,61.086666666666666,62.61222222222222,57.13333333333333,65.42388888888888,46.54543329,-112.0746332
5,59133,32.7625,30.728571428571428,26.309000000000005,14.015454545454547,14.421428571428573,14.455,26.06,46.5438,-112.1822
6,62006,40.13272727272727,35.212,32.15416666666667,31.94363636363636,31.9,38.285,42.621,46.60513469,-112.0159301
7,62261,42.30272727272728,42.63181818181818,40.37,36.9725,38.38111111111111,32.455,42.072631578947366,46.58213419,-112.01803
8,62369,35.776,36.742105263157896,35.88357036094674,34.658,32.431666666666665,34.027142857142856,32.175,46.6524045,-112.0795444
9,62385,,,16.13768614155251,,,,15.8775,46.6593527,-112.0942661
10,62523,,,10.099279389701897,,10.752,,,46.6330975,-112.0619057
11,62802,57.02333333333333,62.61818181818182,61.656666666666666,60.65222222222222,56.72875,55.09,55.17944444444444,46.604177,-112.074286
12,62995,16.520833333333332,12.658181818181818,11.604545454545455,13.7575,11.66777777777778,13.760000000000002,13.743333333333332,46.5705,-112.2427
13,64686,,61.29375,63.01,63.148,65.864,62.39571428571429,,46.7404124,-112.0215656
14,64737,57.03099999999999,59.344166666666666,64.10833333333333,68.738,71.95818181818181,68.303,51.7775,46.7317468,-112.0192694
15,64755,,,74.00790412745097,166.792,207.7375,230.914,,46.7232986,-112.0201403
16,65271,132.34076923076924,141.26,141.98636363636362,143.27636363636364,145.80142857142857,152.105,122.78526315789476,46.7193633,-112.0532591
17,65316,,,10.692235242794332,11.068333333333332,7.109999999999999,13.262857142857143,,46.7045986,-112.0771691
18,65432,86.96928961748634,80.87078920516717,78.9953133759264,81.01715572830997,88.0437934116866,80.56818948288974,78.94571428571429,46.70294306,-112.0592231
19,65615,16.984285714285715,17.261304347826087,16.85273937948718,15.800999999999998,14.013636363636364,15.904285714285717,16.47941176470588,46.662853,-112.0935292
20,66455,18.27583333333333,17.7075,16.904545454545453,18.645,15.793333333333331,18.745,16.791176470588233,46.7518,-112.3001
21,132801,22.955,20.60909090909091,20.111666666666668,22.328333333333333,23.02857142857143,22.494,19.715555555555557,46.5444,-112.0808
22,143645,100.00666666666666,103.60625,106.56363636363636,109.37,116.98909090909092,113.09,,46.7386605,-112.0307699
23,144726,,60.24333333333334,59.54280687355563,55.32000000000001,57.10555555555556,59.74,,46.7177272,-111.990548
24,147130,22.68166666666667,23.16454545454545,22.41916666666667,21.09083333333333,19.574,19.755000000000003,20.229166666666668,46.654518,-112.2162663
25,148259,171.22833333333332,166.6266666666667,170.80909090909088,182.07,179.5009787525773,181.33319852941176,164.9275,46.7329651,-111.9554411
26,155613,34.22083333333333,32.597500000000004,32.72166666666667,30.415000000000003,29.12,29.105,33.5575,46.7079498,-112.2066564
27,170202,91.23333333333332,96.70166666666668,98.90363636363637,107.81,119.098,123.06,,46.7160498,-111.9131862
28,176012,,40.67666666666667,48.38623904097117,51.33416666666667,56.85909090909092,63.505,,46.7245951,-111.9941215
29,187372,,96.73625,97.25666666666667,94.45636363636363,95.96555555555555,95.83285714285716,,46.7123657,-112.0433519
30,187438,,,52.195,53.483,54.28333333333333,56.653333333333336,,46.7540276,-112.0209157
31,187850,73.23400000000001,76.5311111111111,81.13416666666667,85.83416666666666,89.6775,,,46.7339944,-112.024227
32,191524,4.072,3.554444444444444,3.426666666666667,3.736666666666667,3.298,4.065,,46.65230965,-111.9947358
33,191525,4.136666666666667,3.5188888888888887,3.3783333333333334,3.7325,3.307,4.0375,,46.65226954,-111.9947347
34,191526,5.016666666666667,4.6688888888888895,4.968333333333333,5.221666666666667,4.923,5.425,,46.66055882,-111.9727489
