,gwicid,2000-2003,2004-2007,2008-2011,2012-2015,2016-2019,2020-2023,prior to 2000,latitude,longitude
0,5756,27.12357142857143,15.83,10.803333333333333,20.970219506925208,26.349526418478263,,16.832,46.643954,-112.046558
1,5846,3.483333333333333,2.748181818181818,2.855833333333333,2.9458333333333333,3.4,3.2099999999999995,2.5602127659574467,46.7043044,-111.9956763
2,5854,4.843999999999999,,5.506292066115702,,,,5.2631578947368425,46.6924772,-111.978844
3,58906,71.6423076923077,70.65378787878787,58.25529411764706,61.31153846153846,69.08538461538461,,49.38,46.5495,-112.1011
4,58923,75.13875,77.536,68.375,62.71727272727273,61.453,59.13,64.93588235294118,46.54543329,-112.0746332
5,59133,38.88727272727272,33.388888888888886,21.527,15.362,12.766666666666667,15.43,30.308,46.5438,-112.1822
6,62006,38.219,33.663333333333334,30.44454545454545,31.389090909090907,30.933333333333334,37.57,40.33090909090909,46.60513469,-112.0159301
7,62261,39.54454545454546,40.433,38.09916666666667,37.38,38.792,35.3,38.90823529411765,46.58213419,-112.01803
8,62369,36.925384615384615,36.85125,35.55817046210527,36.201,31.9,34.132,32.4745,46.6524045,-112.0795444
9,62385,,,16.461763386377708,,,,16.037,46.6593527,-112.0942661
10,62523,,,9.705559959000942,,11.895,,8.53,46.6330975,-112.0619057
11,62802,57.55,62.443333333333335,61.134166666666665,61.27875,60.41181818181818,55.35,55.081875,46.604177,-112.074286
12,62995,17.75,14.25,13.342727272727274,15.72272727272727,13.5,15.97,16.484545454545454,46.5705,-112.2427
13,64686,59.535,61.08555555555555,63.763333333333335,63.651250000000005,67.21000000000001,63.43,,46.7404124,-112.0215656
14,64737,59.06857142857143,63.53181818181818,67.11,72.49090909090908,75.26545454545455,70.37333333333333,54.134,46.7317468,-112.0192694
15,64755,,,70.31593261482821,209.59166666666667,247.6488888888889,256.27,,46.7232986,-112.0201403
16,65271,140.67416666666665,143.52727272727273,144.3,147.93,152.86888888888888,156.445,125.67,46.7193633,-112.0532591
17,65316,,,10.535403348237317,14.6725,12.571000000000002,15.0525,,46.7045986,-112.0771691
18,65432,84.35097297297297,80.1832222069586,76.03373996891496,79.32651417570129,83.03247474032739,81.09887739130436,79.93555555555555,46.70294306,-112.0592231
19,65615,16.932499999999997,19.11195652173913,17.112575168508286,17.39272727272727,17.494444444444447,18.645,16.44684210526316,46.662853,-112.0935292
20,66455,18.67,19.082222222222224,18.754285714285714,20.995454545454542,17.914285714285715,19.735,17.5725,46.7518,-112.3001
21,132801,24.797272727272727,22.792,20.419,25.20583333333333,25.55666666666667,30.763333333333332,22.21176470588236,46.5444,-112.0808
22,143645,103.77,108.83111111111111,113.79333333333334,117.11428571428571,126.279,127.015,,46.7386605,-112.0307699
23,144726,,54.00333333333333,52.63748363518596,47.07,50.58,46.85,,46.7177272,-111.990548
24,147130,23.55333333333333,23.37777777777778,23.06,21.99363636363637,20.683,19.91,21.18636363636364,46.654518,-112.2162663
25,148259,168.17363636363638,172.1266666666667,184.26625,206.58444444444444,198.0991011235955,204.89365853658532,171.6681818181818,46.7329651,-111.9554411
26,155613,34.42,32.758,32.300000000000004,30.651666666666667,29.615,29.585,33.015,46.7079498,-112.2066564
27,170202,93.23,100.93333333333334,110.14181818181818,119.84083333333332,126.45222222222222,134.275,,46.7160498,-111.9131862
28,176012,,42.906666666666666,50.60332727448747,53.16166666666666,58.526,63.44857142857143,,46.7245951,-111.9941215
29,187372,94.69,95.41625,96.16090909090909,93.46222222222222,95.46428571428572,95.00333333333332,,46.7123657,-112.0433519
30,187438,,,52.807500000000005,57.29545454545455,58.70777777777778,74.82,,46.7540276,-112.0209157
31,187850,74.25666666666666,78.632,84.16166666666666,89.68583333333333,87.21555555555555,,,46.7339944,-112.024227
32,191524,5.6475,4.57,3.7516666666666665,4.8,4.444545454545454,3.41,,46.65230965,-111.9947358
33,191525,5.6,4.555,3.7475,4.8,4.907777777777778,3.595,,46.65226954,-111.9947347
34,191526,5.384166666666666,5.314545454545455,5.331666666666666,5.556666666666668,5.216666666666667,5.038333333333333,,46.66055882,-111.9727489
35,191527,5.396666666666667,4.932727272727273,5.081818181818182,5.1775,4.780909090909091,4.596666666666667,,46.66051312,-111.9727435
36,191530,20.3075,18.72222222222222,20.274166666666662,20.17727272727273,19.50625,19.6,,46.65160711,-111.8744199
37,191531,38.02,36.31777777777778,35.67916666666667,34.803333333333335,35.54125,33.946666666666665,,46.5903807,-111.9946536
38,191532,60.765,65.07417392655641,68.64800167739611,69.48114658938313,71.95181490150637,69.98779854054054,,46.72833385,-112.0363594
39,191533,22.3325,21.594,21.390833333333333,21.992500000000003,21.808888888888887,21.516666666666666,,46.6016554,-111.9806696
40,191534,73.8425,71.44076662561577,69.65166666666666,67.63416666666667,70.31714285714285,68.07285714285715,,46.70537491,-112.0414602
41,191535,34.156666666666666,32.783,32.58833333333333,32.82083333333333,32.34222222222222,32.211666666666666,,46.6016175,-111.9806607
42,191536,38.1625,35.13666666666667,37.395833333333336,38.3525,40.37428571428571,40.085,,46.62688322,-111.9141275
43,191538,22.135,20.913,20.12,21.07,22.08,19.815,,46.61570068,-111.9818949
44,191539,10.2475,10.581,10.777500000000002,11.455833333333333,11.44125,11.598571428571429,,46.62392816,-112.048919
45,191540,34.3,32.971,33.16833333333333,33.70083333333333,33.67666666666667,33.20333333333333,,46.59038052,-111.9946112
46,191548,112.84666666666664,114.368,115.36083333333332,117.75,119.64,116.07333333333334,,46.59159331,-111.8778901
47,191549,3.085,2.46,1.9333333333333331,2.4466666666666668,2.1672727272727275,1.9066666666666665,,46.66168667,-111.9469974
48,191550,10.186666666666666,10.339,11.545,13.356666666666667,13.223,14.502,,46.63502075,-111.9540437
49,191554,1.52,1.146,1.0633333333333332,1.1725,1.031111111111111,1.3883333333333334,,46.66173517,-111.9469967
50,191555,14.283333333333331,10.313,9.848491850602407,9.0475,9.896,10.281428571428572,,46.67523673,-112.0426012
51,191557,4.609999999999999,4.116666666666666,3.1016666666666666,3.4475,4.673636363636363,3.287142857142857,,46.63068274,-112.0843896
52,193012,21.896666666666665,21.48,19.916666666666668,20.81083333333333,22.181818181818183,19.548333333333336,,46.61566231,-111.9818919
53,195637,5.74,5.9350000000000005,9.0075,9.394,5.686,,7.07,46.71025566,-111.9784574
54,199993,,64.116,64.37,60.07090909090909,64.11666666666667,64.78999999999999,,46.713762,-112.0265034
55,205626,118.86,117.7490305018868,,,157.05,141.6,,46.7326,-111.9745
56,206394,,127.06300000000002,129.4188888888889,131.64181818181817,132.16400000000002,121.67,,46.7367201,-112.0272292
57,237167,,,12.682593255635709,15.593333333333334,13.915,14.715,,46.7046599,-112.0765438
58,254309,32.474999999999994,,25.16486836950421,,,,25.2125,46.6491086,-112.0461766
59,257063,,,10.011271450301203,9.3325,10.269,9.705714285714285,,46.67530481,-112.0425928
