,gwicid,time_period,season,count,swl_ground,change,latitude,longitude
0,5756,prior to 2000,winter,8,23.0875,,46.643954,-112.046558
1,5756,prior to 2000,spring,10,23.336000000000002,,46.643954,-112.046558
2,5756,prior to 2000,summer,5,16.832,,46.643954,-112.046558
3,5756,prior to 2000,fall,2,22.02,,46.643954,-112.046558
4,5756,2000-2003,winter,6,30.560000000000002,0.32,46.643954,-112.046558
5,5756,2000-2003,spring,40,29.017000000000003,0.24,46.643954,-112.046558
6,5756,2000-2003,summer,14,27.12357142857143,0.61,46.643954,-112.046558
7,5756,2000-2003,fall,2,27.895,0.27,46.643954,-112.046558
8,5756,2004-2007,winter,2,28.18,-0.08,46.643954,-112.046558
9,5756,2004-2007,spring,9,25.443333333333335,-0.12,46.643954,-112.046558
10,5756,2004-2007,summer,1,15.83,-0.42,46.643954,-112.046558
11,5756,2004-2007,fall,1,25.94,-0.07,46.643954,-112.046558
12,5756,2008-2011,winter,3,26.256666666666664,-0.07,46.643954,-112.046558
13,5756,2008-2011,spring,10,13.469999999999999,-0.47,46.643954,-112.046558
14,5756,2008-2011,summer,3,10.803333333333333,-0.32,46.643954,-112.046558
15,5756,2008-2011,fall,2,13.935,-0.46,46.643954,-112.046558
16,5756,2012-2015,winter,112,25.22242900892857,-0.04,46.643954,-112.046558
17,5756,2012-2015,spring,221,23.976109828054298,0.78,46.643954,-112.046558
18,5756,2012-2015,summer,361,20.970219506925208,0.94,46.643954,-112.046558
19,5756,2012-2015,fall,322,23.731928711180124,0.7,46.643954,-112.046558
20,5756,2016-2019,winter,30,27.697207966666667,0.1,46.643954,-112.046558
21,5756,2016-2019,spring,48,26.21072829166667,0.09,46.643954,-112.046558
22,5756,2016-2019,summer,184,26.349526418478263,0.26,46.643954,-112.046558
23,5756,2016-2019,fall,51,26.828055137254903,0.13,46.643954,-112.046558
24,5756,2020-2023,winter,0,,0.0,46.643954,-112.046558
25,5756,2020-2023,spring,0,,0.0,46.643954,-112.046558
26,5756,2020-2023,summer,0,,0.0,46.643954,-112.046558
27,5756,2020-2023,fall,0,,0.0,46.643954,-112.046558
28,5846,prior to 2000,winter,37,3.75972972972973,,46.7043044,-111.9956763
29,5846,prior to 2000,spring,50,3.1016000000000004,,46.7043044,-111.9956763
30,5846,prior to 2000,summer,47,2.5602127659574467,,46.7043044,-111.9956763
31,5846,prior to 2000,fall,39,3.54025641025641,,46.7043044,-111.9956763
32,5846,2000-2003,winter,3,3.86,0.03,46.7043044,-111.9956763
33,5846,2000-2003,spring,3,4.226666666666667,0.36,46.7043044,-111.9956763
34,5846,2000-2003,summer,3,3.483333333333333,0.36,46.7043044,-111.9956763
35,5846,2000-2003,fall,0,,0.0,46.7043044,-111.9956763
36,5846,2004-2007,winter,10,3.7329999999999997,-0.03,46.7043044,-111.9956763
37,5846,2004-2007,spring,10,2.823,-0.33,46.7043044,-111.9956763
38,5846,2004-2007,summer,11,2.748181818181818,-0.21,46.7043044,-111.9956763
39,5846,2004-2007,fall,12,3.3783333333333334,-0.05,46.7043044,-111.9956763
40,5846,2008-2011,winter,12,3.8433333333333337,0.03,46.7043044,-111.9956763
41,5846,2008-2011,spring,11,3.0081818181818183,0.07,46.7043044,-111.9956763
42,5846,2008-2011,summer,12,2.8558333333333334,0.04,46.7043044,-111.9956763
43,5846,2008-2011,fall,13,3.262307692307693,-0.03,46.7043044,-111.9956763
44,5846,2012-2015,winter,10,2.875,-0.25,46.7043044,-111.9956763
45,5846,2012-2015,spring,12,2.6916666666666664,-0.11,46.7043044,-111.9956763
46,5846,2012-2015,summer,12,2.9458333333333333,0.03,46.7043044,-111.9956763
47,5846,2012-2015,fall,11,3.0627272727272725,-0.06,46.7043044,-111.9956763
48,5846,2016-2019,winter,8,3.1750000000000003,0.1,46.7043044,-111.9956763
49,5846,2016-2019,spring,9,3.091111111111111,0.15,46.7043044,-111.9956763
50,5846,2016-2019,summer,10,3.4,0.15,46.7043044,-111.9956763
51,5846,2016-2019,fall,7,3.7971428571428567,0.24,46.7043044,-111.9956763
52,5846,2020-2023,winter,1,3.27,0.03,46.7043044,-111.9956763
53,5846,2020-2023,spring,4,2.4875,-0.2,46.7043044,-111.9956763
54,5846,2020-2023,summer,3,3.2099999999999995,-0.06,46.7043044,-111.9956763
55,5846,2020-2023,fall,2,3.09,-0.19,46.7043044,-111.9956763
56,5854,prior to 2000,winter,31,6.8429032258064515,,46.6924772,-111.978844
57,5854,prior to 2000,spring,55,5.905454545454545,,46.6924772,-111.978844
