,gwicid,2000-2003,2004-2007,2008-2011,2012-2015,2016-2019,2020-2023,prior to 2000,latitude,longitude
0,5756,30.56,28.18,26.256666666666664,25.22242900892857,27.697207966666667,,23.0875,46.643954,-112.046558
1,5846,3.86,3.733,3.8433333333333337,2.875,3.1750000000000003,3.27,3.75972972972973,46.7043044,-111.9956763
2,5854,5.586666666666667,6.82,6.867524290513834,,,,6.842903225806452,46.6924772,-111.978844
3,58906,,69.91188679245283,66.3704,61.18509803921569,66.27277777777778,,,46.5495,-112.1011
4,58923,75.17666666666668,77.22083333333333,73.72,59.72444444444445,68.60888888888888,51.85,64.91166666666668,46.54543329,-112.0746332
5,59133,36.87466666666667,33.922222222222224,29.309000000000005,15.2575,14.998,13.24,28.25529411764706,46.5438,-112.1822
6,62006,40.835,36.9825,33.085,32.36833333333333,32.629000000000005,36.86333333333334,42.6,46.60513469,-112.0159301
7,62261,44.808,43.50727272727273,42.4675,34.39083333333333,41.571,38.26666666666667,42.92555555555556,46.58213419,-112.01803
8,62369,35.45666666666667,36.64571428571429,35.90319622878229,33.6075,36.896,30.09166666666667,32.893076923076926,46.6524045,-112.0795444
9,62385,,16.41,17.062142667829118,,,,15.921666666666669,46.6593527,-112.0942661
10,62523,,,11.022238102441612,,12.531666666666666,,12.48,46.6330975,-112.0619057
11,62802,56.75866666666666,61.65363636363636,61.36181818181819,60.08166666666667,59.693,55.23333333333333,55.541,46.604177,-112.074286
12,62995,17.776,14.835,13.385833333333332,14.345833333333331,13.637272727272729,14.776666666666666,15.422727272727274,46.5705,-112.2427
13,64686,,61.13555555555556,63.911,63.09583333333333,66.56454545454545,62.3,,46.7404124,-112.0215656
14,64737,55.885,60.72615384615384,64.525,69.6775,73.253,68.99,51.82473684210526,46.7317468,-112.0192694
15,64755,,,71.17436240163562,161.84,196.9177777777778,222.30428571428573,,46.7232986,-112.0201403
16,65271,130.7257142857143,139.3375,140.29999999999998,141.02583333333334,144.475,150.84166666666667,120.49058823529413,46.7193633,-112.0532591
17,65316,,,12.277111791114576,11.80909090909091,12.043636363636365,14.09,,46.7045986,-112.0771691
18,65432,87.10625698324023,80.03072407885085,77.94690305319506,80.23301897191543,86.15910944999999,78.58452493726936,78.99375,46.70294306,-112.0592231
19,65615,17.008333333333333,17.396470588235296,16.73933956235107,15.221666666666666,16.015555555555558,14.886666666666663,16.875999999999998,46.662853,-112.0935292
20,66455,22.043333333333333,21.272727272727277,21.331666666666667,20.426666666666662,21.36,21.506666666666664,19.678235294117645,46.7518,-112.3001
21,132801,25.566,25.035,23.271666666666665,23.46,25.35375,21.6,22.60941176470588,46.5444,-112.0808
22,143645,98.07,103.07444444444444,107.52727272727272,108.50083333333332,115.51,113.47333333333334,,46.7386605,-112.0307699
23,144726,,58.37,59.67316745889186,57.72181818181818,59.81333333333333,57.473333333333336,,46.7177272,-111.990548
24,147130,22.504,22.63222222222222,23.160833333333333,21.0,21.604545454545452,19.28,21.477272727272727,46.654518,-112.2162663
25,148259,164.11928571428572,165.636,169.67,172.081,174.68691140625,174.6437951807229,161.21666666666667,46.7329651,-111.9554411
26,155613,34.064,32.53727272727272,33.10166666666667,30.78,31.187272727272727,28.723333333333333,32.769,46.7079498,-112.2066564
27,170202,87.995,93.48111111111112,97.3825,105.15363636363637,114.07555555555555,118.735,,46.7160498,-111.9131862
28,176012,,40.86000000000001,49.59660408560311,51.93727272727272,57.432500000000005,63.3,,46.7245951,-111.9941215
29,187372,,94.0875,95.23583333333332,92.35416666666669,94.422,92.07,,46.7123657,-112.0433519
30,187438,,,54.37932140921052,52.18909090909092,54.89727272727273,53.60333333333333,,46.7540276,-112.0209157
31,187850,73.45666666666666,77.86125,80.885,86.28333333333335,90.0488888888889,,,46.7339944,-112.024227
32,191524,,6.763,5.6275,4.89,5.565714285714286,4.583333333333333,,46.65230965,-111.9947358
33,191525,,6.714,5.7290909090909095,4.849166666666666,5.366666666666667,4.569999999999999,,46.65226954,-111.9947347
34,191526,,6.169,6.219166666666666,5.923333333333333,5.975714285714285,6.18,,46.66055882,-111.9727489
35,191527,6.11,5.881,5.752307692307692,5.679166666666667,5.65625,5.8500000000000005,,46.66051312,-111.9727435
36,191530,24.46,20.58,23.44818181818182,23.0275,21.7,21.07,,46.65160711,-111.8744199
37,191531,37.93,37.375,36.643,35.612,36.025,32.77,,46.5903807,-111.9946536
38,191532,59.16,63.31553500364964,66.6273408387534,67.49751618168963,69.80126016567544,68.2893433210332,,46.72833385,-112.0363594
